claim_id,report_section,claim_text,claim_type,source_ids,evidence_paths,direct_or_inference,confidence,conflict_present,conflict_notes
GH-CL-001,GitHub ecosystem,royerlab/kaggle-cell-tracking-competition 是本次合同的强制起点，并含训练、推理、指标、GEFF/CSV 转换与测试源码。,SOURCE_CODE_VERIFIED,GH-DEEP-royerlab__kaggle-cell-tracking-competition,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/royerlab__kaggle-cell-tracking-competition/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-002,GitHub ecosystem,官方基线用 TemporalUNet3D 产生中心概率，并以 SimpleNodeTransformer 对相邻帧候选节点打分。,SOURCE_CODE_VERIFIED,GH-DEEP-royerlab__kaggle-cell-tracking-competition,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/royerlab__kaggle-cell-tracking-competition/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-003,GitHub ecosystem,官方训练损失只在有稀疏标注约束的活动行列上计算边 BCE，未标注区域不是负例。,SOURCE_CODE_VERIFIED,GH-DEEP-royerlab__kaggle-cell-tracking-competition,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/royerlab__kaggle-cell-tracking-competition/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-004,GitHub ecosystem,官方评价先做物理距离节点匹配；边与 division 评价均显式处理稀疏标注，division 还用最大基数二分配对避免一次预测分叉重复计分。,SOURCE_CODE_VERIFIED,GH-DEEP-royerlab__kaggle-cell-tracking-competition,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/royerlab__kaggle-cell-tracking-competition/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-005,GitHub ecosystem,tracksdata 提供 GEFF 图结构、KDTree 候选边、贪心与 ILP 求解器，但不是检测器。,SOURCE_CODE_VERIFIED,GH-DEEP-royerlab__tracksdata,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/royerlab__tracksdata/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-006,GitHub ecosystem,GEFF Python 与 Java 仓库的职责是 Zarr 图交换、schema、验证与跨语言 round-trip，而非学习或执行跟踪。,SOURCE_CODE_VERIFIED,GH-DEEP-live-image-tracking-tools__geff;GH-DEEP-live-image-tracking-tools__geff-java,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/live-image-tracking-tools__geff/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/live-image-tracking-tools__geff-java/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-007,GitHub ecosystem,Ultrack 从分割候选、时序边和重叠约束构建 MIP；可用 Gurobi，并在不可用时回退 CBC。,SOURCE_CODE_VERIFIED,GH-DEEP-royerlab__ultrack,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/royerlab__ultrack/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-008,GitHub ecosystem,Trackastra 消费图像与实例 mask，以 transformer 预测对象关联，并提供 greedy_nodiv、greedy 和 ILP 三种图求解模式。,SOURCE_CODE_VERIFIED,GH-DEEP-weigertlab__trackastra,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/weigertlab__trackastra/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-009,GitHub ecosystem,py-ctcmetrics 实现 DET/SEG/TRA/LNK/HOTA/CHOTA 等 CTC 指标；这些不能直接替代 Biohub 的 adjusted-edge/division 评分。,INFERENCE,GH-DEEP-CellTrackingChallenge__py-ctcmetrics;GH-DEEP-royerlab__kaggle-cell-tracking-competition,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/CellTrackingChallenge__py-ctcmetrics/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/royerlab__kaggle-cell-tracking-competition/repo_evidence.json,inference,MEDIUM,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-010,GitHub ecosystem,3DeeCellTracker、btrack、ByoTrack、ELEPHANT 与 Cellpose 分别提供 3D 配准跟踪、贝叶斯/全局假设、模块化链接、学习流场和分割能力，但均需不同程度的 Biohub 接口适配。,INFERENCE,GH-DEEP-WenChentao__3DeeCellTracker;GH-DEEP-quantumjot__btrack;GH-DEEP-raphaelreme__byotrack;GH-DEEP-elephant-track__elephant-server;GH-DEEP-MouseLand__cellpose,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/WenChentao__3DeeCellTracker/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/quantumjot__btrack/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/raphaelreme__byotrack/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/elephant-track__elephant-server/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/MouseLand__cellpose/repo_evidence.json,inference,MEDIUM,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-011,GitHub ecosystem,phucthaiv02 仓库是官方基线的修改衍生：比较的 SimpleNodeTransformer 字节相同，而 TemporalUNet3D 增加了先 XY 后各向同性的池化。,SOURCE_CODE_VERIFIED,GH-DEEP-royerlab__kaggle-cell-tracking-competition;GH-DEEP-phucthaiv02__biohub-cell-tracking,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/royerlab__kaggle-cell-tracking-competition/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/phucthaiv02__biohub-cell-tracking/repo_evidence.json,direct,HIGH,False,No direct source conflict observed; model performance and README scores were not independently rerun.
GH-CL-012,GitHub ecosystem,公开参赛仓库展示了多条不同路线：DoG+CNN+min-cost-flow、Cellpose+Motile、热图+LAP/Ultrack、交叉注意力+min-cost-flow。,INFERENCE,GH-DEEP-matt-ceran__biohub-cell-tracking;GH-DEEP-tarunn613__biohub-cell-tracking;GH-DEEP-tossowski__BioHub;GH-DEEP-sota1111__biohub-claude,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/matt-ceran__biohub-cell-tracking/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/tarunn613__biohub-cell-tracking/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/tossowski__BioHub/repo_evidence.json;research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/sota1111__biohub-claude/repo_evidence.json,inference,MEDIUM,False,No direct source conflict observed; model performance and README scores were not independently rerun.
