claim_id,report_section,claim_text,claim_type,source_ids,evidence_paths,direct_or_inference,confidence,conflict_present,conflict_notes
OFFICIAL_KAGGLE_CLAIM_001,official_competition,任务要求在 3D+time 显微影像中检测并跨时间关联细胞、识别分裂并重建谱系。,OFFICIAL_FACT,KAGGLE_OFFICIAL_API_DESCRIPTION | KAGGLE_OFFICIAL_BROWSER_OVERVIEW,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_official_routes.json,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_002,metric,官方 score 为 adjusted_edge_jaccard + 0.1 * division_jaccard。,OFFICIAL_FACT,KAGGLE_OFFICIAL_API_EVALUATION | KAGGLE_OFFICIAL_BROWSER_OVERVIEW,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_official_routes.json,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_003,metric,节点匹配最大物理距离为 7.0 µm，体素尺度为 z=1.625、y=x=0.40625 µm/voxel。,OFFICIAL_FACT,KAGGLE_OFFICIAL_API_EVALUATION,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_004,metric,adjusted edge Jaccard 按各样本 TP+FP+FN 加权；division Jaccard 跨样本 micro-average，最终 score 可超过 1。,OFFICIAL_FACT,KAGGLE_OFFICIAL_API_EVALUATION,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_005,official_data,"图像使用 Zarr v3，数组通常为 (T,Z,Y,X)=(100,64,256,256) uint16，chunk=(1,64,256,256)，并采用 blosc/zstd。",OFFICIAL_FACT,KAGGLE_OFFICIAL_API_DATA_DESCRIPTION | KAGGLE_OFFICIAL_BROWSER_DATA,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_official_routes.json,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_006,official_data,跟踪图采用 GEFF Zarr v3，包含 node ids/props 与 edge ids；estimated_number_of_nodes 是真实总细胞数估计。,OFFICIAL_FACT,KAGGLE_OFFICIAL_API_DATA_DESCRIPTION | KAGGLE_OFFICIAL_BROWSER_DATA,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_official_routes.json,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_007,official_data,train/test embryo-disjoint；可见 test 是 train copies，hidden test 会在 rerun 时替换。,OFFICIAL_FACT,KAGGLE_OFFICIAL_API_DATA_DESCRIPTION | KAGGLE_OFFICIAL_BROWSER_DATA,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_official_routes.json,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_008,official_data,"数据页在抓取时报告 24,886 files、87.61 GB、CC0: Public Domain。",OFFICIAL_FACT,KAGGLE_OFFICIAL_BROWSER_DATA,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_official_routes.json,DIRECT,HIGH,false,动态页面时点值。
OFFICIAL_KAGGLE_CLAIM_009,official_data,"只读文件 API 取得 5,400 条元数据后第 28 页遇到 HTTP 429，因此清单是 5,400/24,886 的部分覆盖，而非全量。",MEASURED,KAGGLE_COMPETITION_FILE_METADATA_PARTIAL,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/failure_ledger.json,DIRECT,HIGH,false,缺失项为 RATE_LIMITED，不是 NOT_FOUND。
OFFICIAL_KAGGLE_CLAIM_010,submission_format,"submission 字段为 id,dataset,row_type,node_id,t,z,y,x,source_id,target_id，且每个 test dataset 都必须出现。",OFFICIAL_FACT,KAGGLE_OFFICIAL_API_EVALUATION | KAGGLE_OFFICIAL_API_DATA_DESCRIPTION,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_011,timeline_and_prizes,"比赛时间线为 2026-06-29 开始、2026-09-22 报名及组队合并截止、2026-09-29 最终提交截止；总奖金为 60,000 美元。",OFFICIAL_FACT,KAGGLE_OFFICIAL_API_TIMELINE | KAGGLE_OFFICIAL_API_PRIZES,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv,DIRECT,HIGH,false,截止时间按官方页为 23:59 UTC。
OFFICIAL_KAGGLE_CLAIM_012,rules,团队最多 5 人、每日最多 5 次提交、最多选择 2 个 final submissions；winner code license 为 MIT。,OFFICIAL_FACT,KAGGLE_OFFICIAL_API_RULES | KAGGLE_OFFICIAL_BROWSER_RULES,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_official_routes.json,DIRECT,HIGH,false,
OFFICIAL_KAGGLE_CLAIM_013,code_requirements,Code competition 允许 CPU/GPU 各最多 12 小时，internet 必须关闭；允许公开且免费可得的外部数据和预训练模型。,OFFICIAL_FACT,KAGGLE_OFFICIAL_API_CODE_REQUIREMENTS | KAGGLE_OFFICIAL_API_RULES,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv,DIRECT,HIGH,false,外部资源另受 Reasonableness 和获奖者复现义务约束。
OFFICIAL_KAGGLE_CLAIM_014,leaderboard,2026-09-03T08:32:44.130Z 动态公开榜快照：rank 1/5/10/25/50/100 分别为 0.963/0.955/0.949/0.944/0.940/0.937，页面公开/私有比例约 29%/71%。,MEASURED,KAGGLE_LEADERBOARD_BROWSER_20260903 | KAGGLE_OFFICIAL_BROWSER_LEADERBOARD,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_leaderboard_snapshot.json,DIRECT,HIGH,false,动态时点快照，不是最终结果。
OFFICIAL_KAGGLE_CLAIM_015,kaggle_code_coverage,5 个排序和 20 个关键词页面合计观察 460 个卡片出现，去重后为 194 个 owner/slug。,MEASURED,KAGGLE_OFFICIAL_BROWSER_CODE,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_code_sort_captures.json | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/browser_code_keyword_captures.json,DIRECT,HIGH,false,仅是已加载可见结果，不是 Kaggle 全部 Code 的平台总数。
OFFICIAL_KAGGLE_CLAIM_016,kaggle_code_deep_read,"30 本不同 Notebook 当前源码已逐 cell 审计，共 3,022,497 bytes、122 个 markdown cells、218 个 code cells；GetKernel 中 output-bearing cells 为 0。",MEASURED,KAGGLE_CODE_NUSRATI_0-938 | KAGGLE_CODE_INVERSION_CELL-TRACKING-GETTING-STARTED-W-NEAREST-NEIGHBOR | KAGGLE_CODE_THIBAUTGOLDSBOROUGH_UNET-BASELINE-INFERENCE-SUBMISSION | KAGGLE_CODE_JIRKABOROVEC_BIOHUB-CELLTRACK-DOG-TRACKASTRA-GRAPH-TRANS | KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CELL-TRACKING-CLASSICAL-BASELINE | KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CELL-TRACKING-3D-U-NET | KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CT-MIX-DIVAUG | KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-LEARNED-GRAPH-W-GAP-RECOVERY | KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-TWO-SEEDS-LOGIT-BLEND | KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-DATA-MODEL-EDA-BASELINE | KAGGLE_CODE_YUSUKETOGASHI_CLEAN-APPROACH-LIGHTWEIGHT-LOCAL-CV-NO-HACK | KAGGLE_CODE_YUSUKETOGASHI_LB897-BASELINE | KAGGLE_CODE_YAROSLAVKHOLMIRZAYEV_BIOHUB-CELL-TRACKING-V4-UNET-ILP-REPRODUCTION | KAGGLE_CODE_SESHURAJUP_LB-0-857-BEST-RULE-BASE-V14 | KAGGLE_CODE_ISAKATSUYOSHI_BIOHUB-RULE-BASED-BASELINE | KAGGLE_CODE_KIRNEO_METRIC-HACK-LAST-CALL-UPDATE | KAGGLE_CODE_AMANATAR_IMPROVED-METRIC-HACK-LAST-CALL | KAGGLE_CODE_OUTWREST_METRIC-HACK-MINIMAL-BASELINE-TTA-2GPU | KAGGLE_CODE_YUNUSGMSOY_KIMI-NOTEBOOK-V19 | KAGGLE_CODE_ANHADMAHAJAN06_BIOHUB-TRACK-YOUR-CELLS-DEVELOPMENT | KAGGLE_CODE_FLEXONAFFT_BIOHUB-HARMONIC-FUSION | KAGGLE_CODE_KUNALDESALE2408_BIOHUB-CELL-TRACKING | KAGGLE_CODE_ALIOMAN_BIOHUB-V19C-PUBLIC0939-SIS14-ONLY | KAGGLE_CODE_RISHABHR0Y_BIOHUB-DIV45-STACK | KAGGLE_CODE_CLOUDSSDUT_BIOHUB-0-948-REPRODUCTION-20260901 | KAGGLE_CODE_AAGNEYE_BIOHUB-V23-DIVISION-REBUILD-RECLAIM | KAGGLE_CODE_PAWANMALI_BIOHUB-CLI-LEARNED-DIV-V1 | KAGGLE_CODE_MDMAHFUJULKARIM_BIOHUB-CELL-TRACKING-GRAPH-PIPELINE | KAGGLE_CODE_DFHGFDGHFDHG_BIOHUB-FINAL-CYTO2 | KAGGLE_CODE_AAAA1597_S1-06-STARDIST-BTRACK-PIPELINE,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/notebook_deep_read.jsonl | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/notebook_cell_audit.jsonl,DIRECT,HIGH,false,输出为空，因此不验证训练、推理、runtime、本地分数或产物成功。
OFFICIAL_KAGGLE_CLAIM_017,kaggle_code_method,getting-started Notebook 当前源码使用阈值型节点提取、相邻帧 Hungarian 匹配并生成 submission。,SOURCE_CODE_VERIFIED,KAGGLE_CODE_INVERSION_CELL-TRACKING-GETTING-STARTED-W-NEAREST-NEIGHBOR,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/notebook_deep_read.jsonl | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/notebook_cell_audit.jsonl,DIRECT,HIGH,false,源码存在不证明已在平台成功运行。
OFFICIAL_KAGGLE_CLAIM_018,kaggle_code_method,Trackastra 候选当前源码包含 DoG/local maxima、watershed、Trackastra graph transformer 与轨迹过滤信号。,SOURCE_CODE_VERIFIED,KAGGLE_CODE_JIRKABOROVEC_BIOHUB-CELLTRACK-DOG-TRACKASTRA-GRAPH-TRANS,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/notebook_deep_read.jsonl | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/notebook_cell_audit.jsonl,DIRECT,HIGH,false,源码存在不证明已在平台成功运行。
OFFICIAL_KAGGLE_CLAIM_019,metric_exploit_risk,biohub-ct-mix-divaug 当前源码明确注释可选 negative-time/out-of-volume hub 与 forks 为 metric exploit，并注明可能被 patch。,SOURCE_CODE_VERIFIED,KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CT-MIX-DIVAUG,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/notebook_deep_read.jsonl | research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/notebook_cell_audit.jsonl,DIRECT,HIGH,false,仅证明当前源码中存在该逻辑与注释，不验证卡片分数或补丁状态。
