sample,embryo,frame,parent,child1,child2,arm,old_eligible,old_reason,mutual_nn,divergence,symmetry,DeepCenter,old_selected,new_eligible,new_reason,old_selection_reason,frame_cap,global_cap,new_selected,classifier_score,held_out_model,context_complete,abstain,old_rank,new_rank,direct_filter_change,rank_change,selected_change,annotation,scope
44b6_12dfb391,44b6,1,630,1046,1078,G1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.999964615549212,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,1,630,1046,1078,R1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.999964615549212,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,6,2988,3442,3440,G1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9999202154021264,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,6,2988,3442,3440,R1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9999202154021264,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,18,8157,8594,8604,G1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9994180868629845,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,18,8157,8594,8604,R1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9994180868629845,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,19,8596,9021,9053,G1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9953687764400833,44b6,True,False,1,1,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,19,8596,9021,9053,R1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9953687764400833,44b6,True,False,1,0,False,True,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,19,8702,9152,9123,G1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9737239904116336,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,19,8702,9152,9123,R1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9737239904116336,44b6,True,False,0,1,False,True,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,20,8870,9327,9308,G1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9872471957058744,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,20,8870,9327,9308,R1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9872471957058744,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,25,11410,11863,11872,G1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9999809680000081,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
44b6_12dfb391,44b6,25,11410,11863,11872,R1,True,all original eligibility rules and DeepCenter passed,True,True,True,True,True,True,SELECTED,SELECTED,3,166,True,0.9999809680000081,44b6,True,False,0,0,False,False,False,see event_attribution.json and safe_event_attribution.json; unassessed forks remain UNKNOWN,same eligible snapshot; subsequent short-track/smoothing effects reported separately
